name,country,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active
"35th Street, IOP","USA, South East, South Carolina",32.795247488814,-79.766889810562,America/Los_Angeles,beginner,intermediate,CHS,North America,35th-street-iop,True
36th street,"USA, California, Orange County",33.615155376281,-117.93722391129,America/Los_Angeles,intermediate,advanced,SNA,North America,36th-street,True
36th Street,"USA, North East, New Jersey",39.15717812309,-74.685895442963,America/Los_Angeles,beginner,intermediate,WWD,North America,36th-street,True
38th Parallel,South Korea,38.006066734238,128.7326592207,UTC,intermediate,advanced,YNY,Other,38th-parallel,True
38th St. Beach,"USA, North East, New Jersey",39.387917291121,-74.386324882507,America/Los_Angeles,beginner,intermediate,ACY,North America,38th-st.-beach,True
3de Steen,"South Africa, Cape Town",-33.772762043212,18.444328308105,Africa/Johannesburg,intermediate,advanced,CPT,Africa,3de-steen,True
3rd Groyne,"Australia, WA, Perth City",-31.833670075763,115.74690520763,Australia/Sydney,intermediate,advanced,JFM,Oceania,3rd-groyne,True
4 Bobs,"Indonesia, Mentawai",-1.9091219602854,99.310655593872,Asia/Jakarta,advanced,advanced,RKI,Asia,4-bobs,True
4 Mile,"USA, California, Santa Cruz",36.965563579633,-122.12505340576,America/Los_Angeles,intermediate,advanced,WVI,North America,4-mile,True
4 Miles,"USA, Hawaii, Hawaii Island",19.735198843714,-155.02799034119,America/Los_Angeles,intermediate,advanced,ITO,North America,4-miles,True
40th Street,"USA, California, Orange County",33.617299678724,-117.93889760971,America/Los_Angeles,intermediate,advanced,SNA,North America,40th-street,True
411 (quatro-once),Panama,7.2385158124997,-80.519651770592,UTC,intermediate,advanced,PDM,Central America,411-(quatro-once),True
42nd St. VA Beach,"USA, North East, Virginia",36.870935151143,-75.982003211975,America/Los_Angeles,beginner,intermediate,NTU,North America,42nd-st.-va-beach,True
46°,"Italy, Mainland",43.638792795902,10.28497338295,UTC,intermediate,advanced,PSA,Europe,46°,True
48th st. Myrtle Beach,"USA, South East, South Carolina",33.720658692791,-78.844730257988,America/Los_Angeles,beginner,intermediate,MYR,North America,48th-st.-myrtle-beach,True
48th Street (Ocean City),"USA, North East, Virginia",38.373230429205,-75.06695151329,America/Los_Angeles,beginner,intermediate,OCE,North America,48th-street-(ocean-city),True
4th groyne,"Australia, WA, Perth South",-32.504749211233,115.73548436165,Australia/Sydney,intermediate,advanced,JAD,Oceania,4th-groyne,True
5 1 2km  &  8 1 2km,Ecuador,-2.7312133615029,-80.246887207031,UTC,intermediate,advanced,GYE,Other,5-1-2km--&--8-1-2km,True
5 rocks,"Japan, Okinawa",26.331547281289,127.74185121059,UTC,intermediate,advanced,DNA,Asia,5-rocks,True
56th St.,"USA, California, Orange County",33.623223036949,-117.94518470764,America/Los_Angeles,intermediate,advanced,SNA,North America,56th-st.,True
57th Street,"USA, North East, New Jersey",39.221556798184,-74.635705947876,America/Los_Angeles,beginner,intermediate,ACY,North America,57th-street,True
