name,full_location_name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active,nearest_city,nearest_city_distance_km,hotellook_city_id,hotellook_city_name,hotellook_city_distance_km
Portonovo ( Ancona ),"Portonovo ( Ancona ), Mainland","Italy, Mainland",Italy,,Mainland,43.56133854,13.60193253,UTC,beginner,intermediate,AOI,Europe,portonovo-ancona-mainland-italy,TRUE,,,,,
Portonovo ( Ancona ) (la nave),Portonovo ( Ancona ) (la nave),Italy,Italy,,,43.56472036,13.58974457,UTC,beginner,intermediate,AOI,Europe,portonovo-ancona-la-nave-italy,TRUE,,,,,
Portreath,"Portreath, Cornwall West","UK, Cornwall West",UK,,Cornwall West,50.26125383,-5.289230347,Europe/London,intermediate,advanced,PZE,Europe,portreath-cornwall-west-uk,TRUE,Cornwall,0,7309,Cornwall,24.0
Portrush,"Portrush, North East and East","Ireland, North East and East",Ireland,,North East and East,55.20512876,-6.652114391,UTC,intermediate,advanced,LDY,Europe,portrush-north-east-and-east-ireland,TRUE,Causeway Coast and Glens District,0,,,
Portsea Back Beach,"Portsea Back Beach, VIC, Melbourne East","Australia, VIC, Melbourne East",Australia,VIC,Melbourne East,-38.33511752,144.7044039,Australia/Sydney,beginner,intermediate,AVV,Oceania,portsea-back-beach-vic-melbourne-east-australia,TRUE,Melbourne,0,5436,Melbourne,65.6
Portstewart,"Portstewart, North East and East","Ireland, North East and East",Ireland,,North East and East,55.17161342,-6.744060516,UTC,intermediate,advanced,LDY,Europe,portstewart-north-east-and-east-ireland,TRUE,,,,,
Porz Naye,"Porz Naye, Brittany North","France, Brittany North",France,,Brittany North,48.28110812,-4.614429474,Europe/Paris,intermediate,advanced,BES,Europe,porz-naye-brittany-north-france,TRUE,,,,,
Posties,"Posties, SA, East","Australia, SA, East",Australia,SA,East,-38.04297086,140.6360722,Australia/Sydney,intermediate,advanced,MGB,Oceania,posties-sa-east-australia,TRUE,,,,,
Posto 10 - Recreio,"Posto 10 - Recreio, Rio de Janeiro City","Brazil, Rio de Janeiro City",Brazil,,Rio de Janeiro City,-23.02621777,-43.45803961,America/Sao_Paulo,intermediate,advanced,RRJ,South America,posto-10-recreio-rio-de-janeiro-city-brazil,TRUE,Rio de Janeiro,0,6456,Rio De Janeiro,19.9
Posto 5 - Copacabana,"Posto 5 - Copacabana, Rio de Janeiro City","Brazil, Rio de Janeiro City",Brazil,,Rio de Janeiro City,-22.98391821,-43.18845749,America/Sao_Paulo,beginner,intermediate,SDU,South America,posto-5-copacabana-rio-de-janeiro-city-brazil,TRUE,,,,,
