name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active
Churches left,"Indonesia, Others",Indonesia,,Others,-0.824410183,135.9998497,Asia/Jakarta,intermediate,advanced,BIK,Asia,churches-left,TRUE
Cigana,"Brazil, Santa Catarina",Brazil,,Santa Catarina,-28.61353477,-48.84538651,America/Sao_Paulo,intermediate,advanced,JJG,South America,cigana,TRUE
Cimaja,"Indonesia, West Java",Indonesia,,West Java,-6.962903517,106.4795136,Asia/Jakarta,intermediate,advanced,RTO,Asia,cimaja,TRUE
Cinquale,"Italy, Mainland",Italy,,Mainland,43.97653564,10.13968349,UTC,beginner,intermediate,PSA,Europe,cinquale,TRUE
Cipolla - Pipeline,"Italy, Sicily Sardinia",Italy,,Sicily Sardinia,38.8810781,8.859701157,UTC,advanced,advanced,CAG,Europe,cipolla---pipeline,TRUE
Cisco Beach (Nantucket Island),"USA, North East, Southern New England",USA,North East,Southern New England,41.25238716,-70.1567173,America/Los_Angeles,beginner,intermediate,ACK,North America,cisco-beach-(nantucket-island),TRUE
City Beach,"Australia, WA, Perth City",Australia,WA,Perth City,-31.93439085,115.7541633,Australia/Sydney,beginner,intermediate,JFM,Oceania,city-beach,TRUE
Claptons,"South Africa, South J Bay",South Africa,,South J Bay,-34.08977213,24.91570473,Africa/Johannesburg,intermediate,advanced,PLZ,Africa,claptons,TRUE
Clark Island,"New Zealand, New Zealand NI, Coromandel",New Zealand,New Zealand NI,Coromandel,-37.21329291,175.8934307,Pacific/Auckland,beginner,intermediate,TMZ,Oceania,clark-island,TRUE
Claytons,"Australia, WA, Perth North",Australia,WA,Perth North,-31.69589397,115.7022572,Australia/Sydney,beginner,intermediate,PER,Oceania,claytons,TRUE
Clearwater,"USA, Gulf Coast, Florida",USA,Gulf Coast,Florida,27.98758028,-82.82798767,America/Los_Angeles,beginner,intermediate,CLW,North America,clearwater,TRUE
Clearwater beach - The Waffle House,"USA, Gulf Coast, Florida",USA,Gulf Coast,Florida,27.98119455,-82.8290391,America/Los_Angeles,beginner,intermediate,CLW,North America,clearwater-beach---the-waffle-house,TRUE
Clearwater Pass,"USA, Gulf Coast, Florida",USA,Gulf Coast,Florida,27.9710941,-82.83141553,America/Los_Angeles,beginner,intermediate,CLW,North America,clearwater-pass,TRUE
Clifford Kamph Memorial Park,"USA, California, Del Norte, Smithh River - Kellog Road",USA,California,"Del Norte, Smithh River - Kellog Road",41.96982895,-124.2066193,America/Los_Angeles,beginner,intermediate,BOK,North America,clifford-kamph-memorial-park,TRUE
Cliffs,"New Zealand, New Zealand NI, East Cape",New Zealand,New Zealand NI,East Cape,-38.68651473,178.0376959,Pacific/Auckland,intermediate,advanced,GIS,Oceania,cliffs,TRUE
Cliffs,"USA, Hawaii, Oahu",USA,Hawaii,Oahu,21.25253196,-157.8041089,America/Los_Angeles,intermediate,advanced,HNL,North America,cliffs,TRUE
Cliffs,"USA, South East, South Carolina",USA,South East,South Carolina,32.73164234,-79.86920536,America/Los_Angeles,intermediate,advanced,CHS,North America,cliffs,TRUE
Clifton Beach,"Australia, TAS, Hobart",Australia,TAS,Hobart,-42.99363038,147.5257874,Australia/Sydney,beginner,intermediate,HBA,Oceania,clifton-beach,TRUE
Clogherhead,"Ireland, North East and East",Ireland,,North East and East,53.85817131,-6.242208481,UTC,intermediate,advanced,DUB,Europe,clogherhead,TRUE
Cloud Nine,"Philippines, Siargao Islands",Philippines,,Siargao Islands,9.810563213,126.1683655,UTC,intermediate,advanced,IAO,Asia,cloud-nine,TRUE
Cloudbreak,Fiji,Fiji,,,-17.88595278,177.1864444,UTC,advanced,advanced,PTF,Oceania,cloudbreak,TRUE
Clovelly,"South Africa, Cape Town",South Africa,,Cape Town,-34.13227713,18.44063759,Africa/Johannesburg,intermediate,advanced,CPT,Africa,clovelly,TRUE
Clovelly Wedge,"South Africa, Cape Town",South Africa,,Cape Town,-34.13276556,18.44072342,Africa/Johannesburg,advanced,advanced,CPT,Africa,clovelly-wedge,TRUE
club cap,"Australia, WA, Perth North",Australia,WA,Perth North,-31.5403538,115.6154287,Australia/Sydney,beginner,intermediate,RTS,Oceania,club-cap,TRUE
Club Med,Senegal,Senegal,,,14.74059344,-17.5281179,UTC,intermediate,advanced,DKR,Other,club-med,TRUE
Club med,Mauritius,Mauritius,,,-20.21492511,57.39604354,UTC,beginner,intermediate,MRU,Other,club-med,TRUE
Coal Point,"Australia, TAS, Hobart",Australia,TAS,Hobart,-43.33079696,147.3270035,Australia/Sydney,beginner,intermediate,HBA,Oceania,coal-point,TRUE
Coalcliff,"Australia, NSW, Coal Coast",Australia,NSW,Coal Coast,-34.24613123,150.9777689,Australia/Sydney,beginner,intermediate,CDU,Oceania,coalcliff,TRUE
CoarlHead,Samoa American,Samoa American,,,-14.30707346,-170.6915116,UTC,intermediate,advanced,PPG,Other,coarlhead,TRUE
Coast Guard,"USA, Hawaii, Hawaii Island",USA,Hawaii,Hawaii Island,20.25434126,-155.8852351,America/Los_Angeles,intermediate,advanced,UPP,North America,coast-guard,TRUE
Coast Guard beach,"USA, North East, Southern New England",USA,North East,Southern New England,41.84621153,-69.94819164,America/Los_Angeles,beginner,intermediate,PVC,North America,coast-guard-beach,TRUE
Coast Guard House,"USA, North East, Southern New England",USA,North East,Southern New England,41.43058002,-71.45460203,America/Los_Angeles,beginner,intermediate,NPT,North America,coast-guard-house,TRUE
Coastguards,"USA, North East, Long Island NY",USA,North East,Long Island NY,40.63245395,-73.32481384,America/Los_Angeles,beginner,intermediate,FRG,North America,coastguards,TRUE
Cobas,"Spain, Galicia",Spain,,Galicia,43.53848492,-8.298003674,Europe/Madrid,beginner,intermediate,LCG,Europe,cobas,TRUE
Cobblestones,"Australia, WA, Margaret River North",Australia,WA,Margaret River North,-33.87349772,114.9792409,Australia/Sydney,intermediate,advanced,MQZ,Oceania,cobblestones,TRUE
"Coca's Beach,Praia",Cape Verde,Cape Verde,,,14.91668618,-23.50613415,UTC,beginner,intermediate,RAI,Other,coca's-beachpraia,TRUE
Cochino,Puerto Rico,Puerto Rico,,,18.45550641,-66.1797899,UTC,intermediate,advanced,SIG,Other,cochino,TRUE
Coco beach,Tanzania,Tanzania,,,-6.770375149,39.28385639,UTC,beginner,intermediate,DAR,Other,coco-beach,TRUE
Coco nuts,Dominican Republic,Dominican Republic,,,18.71032769,-68.43643427,UTC,beginner,intermediate,PUJ,Other,coco-nuts,TRUE
Cocoa Beach Pier,"USA, South East, North Florida",USA,South East,North Florida,28.36763189,-80.60127139,America/Los_Angeles,beginner,intermediate,COI,North America,cocoa-beach-pier,TRUE
Codac's reef,"Australia, WA, Perth South",Australia,WA,Perth South,-32.63738017,115.6175208,Australia/Sydney,intermediate,advanced,JAD,Oceania,codac's-reef,TRUE
Cody's Right,"Australia, WA, Perth North",Australia,WA,Perth North,-30.02243529,114.9213696,Australia/Sydney,intermediate,advanced,JUR,Oceania,cody's-right,TRUE
Coevity Island-The Handle,"Seychelles, Other Islands",Seychelles,,Other Islands,-7.182139904,56.25729561,UTC,intermediate,advanced,SEZ,Other,coevity-island-the-handle,TRUE
Cofete beach,"Canary, Fuerte Ventura",Canary,,Fuerte Ventura,28.11188434,-14.3898797,UTC,intermediate,advanced,FUE,Other,cofete-beach,TRUE
Coffee Bay Beach Point,"South Africa, Wild Coast",South Africa,,Wild Coast,-31.95026873,29.18972969,Africa/Johannesburg,beginner,intermediate,JOH,Africa,coffee-bay-beach-point,TRUE
Coffs Reef,"Australia, NSW, Banana Coast",Australia,NSW,Banana Coast,-30.30179774,153.1462276,Australia/Sydney,intermediate,advanced,CFS,Oceania,coffs-reef,TRUE
Coito,Ecuador,Ecuador,,,-2.161454897,-80.8234334,UTC,intermediate,advanced,SNC,Other,coito,TRUE
Cokes,Maldives,Maldives,,,4.370374371,73.65509033,UTC,advanced,advanced,MLE,Asia,cokes,TRUE
Coldingham Bay,"UK, Borders and NE England",UK,,Borders and NE England,55.89254494,-2.130489349,Europe/London,beginner,intermediate,ADX,Europe,coldingham-bay,TRUE
Coledale Beach,"Australia, NSW, Coal Coast",Australia,NSW,Coal Coast,-34.28704171,150.9497881,Australia/Sydney,beginner,intermediate,WOL,Oceania,coledale-beach,TRUE
Colegio,"Chile, Tarapaca",Chile,,Tarapaca,-20.22554143,-70.15217364,UTC,intermediate,advanced,IQQ,South America,colegio,TRUE
Collaroy End,"Australia, NSW, Sydney North",Australia,NSW,Sydney North,-33.73397636,151.3060284,Australia/Sydney,beginner,intermediate,RSE,Oceania,collaroy-end,TRUE
Collignon,"France, Normandy",France,,Normandy,49.65732195,-1.568040848,Europe/Paris,intermediate,advanced,CER,Europe,collignon,TRUE
Collioure bay,"France, Mediterranean",France,,Mediterranean,42.52673514,3.086191267,Europe/Paris,beginner,intermediate,PGF,Europe,collioure-bay,TRUE
Colombus Spot,Puerto Rico,Puerto Rico,,,18.3952528,-67.19411016,UTC,intermediate,advanced,BQN,Other,colombus-spot,TRUE
Colorado,Nicaragua,Nicaragua,,,11.40626425,-86.04801178,UTC,intermediate,advanced,ECI,Other,colorado,TRUE
Colorado River Surfing,"USA, Inland",USA,,Inland,38.26556241,-104.6221805,America/Los_Angeles,beginner,intermediate,PUB,North America,colorado-river-surfing,TRUE
colpipe,"Colombia, Caribbean",Colombia,,Caribbean,9.395718038,-76.17010117,UTC,beginner,intermediate,CVE,Other,colpipe,TRUE
Comandancia,"Spain, Mediterranean",Spain,,Mediterranean,41.11117544,1.257140636,Europe/Madrid,beginner,intermediate,REU,Europe,comandancia,TRUE
Comerong island,"Australia, NSW, South Coast",Australia,NSW,South Coast,-34.89969421,150.7598877,Australia/Sydney,intermediate,advanced,NOA,Oceania,comerong-island,TRUE
Comillas,"Spain, Cantabria",Spain,,Cantabria,43.38995516,-4.288315773,Europe/Madrid,beginner,intermediate,SDR,Europe,comillas,TRUE
Commaret Point,St Lucia,St Lucia,,,14.07790555,-60.91315448,UTC,intermediate,advanced,SLU,Other,commaret-point,TRUE
Commercial Pier,"USA, South East, South Florida",USA,South East,South Florida,26.18894632,-80.09418368,America/Los_Angeles,beginner,intermediate,PPM,North America,commercial-pier,TRUE
Comporta,"Portugal, South",Portugal,,South,38.38035439,-8.803482056,Europe/Lisbon,beginner,intermediate,LIS,Europe,comporta,TRUE
Compton,"UK, South",UK,,South,50.66426096,-1.482467651,Europe/London,beginner,intermediate,BBP,Europe,compton,TRUE
Conceição,"Brazil, Fernando do Noronha",Brazil,,Fernando do Noronha,-3.841121997,-32.4184978,America/Sao_Paulo,intermediate,advanced,FEN,South America,conceição,TRUE
Conchan,"Peru, Lima",Peru,,Lima,-12.2528067,-76.93214893,UTC,intermediate,advanced,LIM,South America,conchan,TRUE
Conchilla,"Chile, Sur",Chile,,Sur,-37.07240231,-73.16131711,UTC,intermediate,advanced,CCP,South America,conchilla,TRUE
Conchitas,"Peru, Central",Peru,,Central,-11.74216799,-77.16925621,UTC,beginner,intermediate,LIM,South America,conchitas,TRUE
Congo Beach - The suck,"Australia, NSW, Far South",Australia,NSW,Far South,-35.95195519,150.1628065,Australia/Sydney,intermediate,advanced,MYA,Oceania,congo-beach---the-suck,TRUE
Conil,"Spain, Andalucia",Spain,,Andalucia,36.2845418,-6.104890108,Europe/Madrid,beginner,intermediate,ROZ,Europe,conil,TRUE
